Date : 2021-07-02 23:38:15
Directory : d:\workstation\OS_SelfMake\Assembler
Total : 256 files,  24225 codes, 752 comments, 2023 blanks, all 27000 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| assembly(DOS) |         19 |     13,460 |        142 |         52 |     13,654 |
| nasm          |         35 |      4,626 |        309 |        317 |      5,252 |
| C++           |        120 |      4,200 |        200 |      1,304 |      5,704 |
| C             |         11 |      1,004 |         59 |         68 |      1,131 |
| Makefile      |         23 |        667 |         39 |        230 |        936 |
| Batch         |         45 |        225 |          0 |         41 |        266 |
| Python        |          2 |         41 |          3 |         10 |         54 |
| Markdown      |          1 |          2 |          0 |          1 |          3 |
+---------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |        256 |     24,225 |        752 |      2,023 |     27,000 |
| binary-os                                                                   |          1 |     12,513 |          0 |          0 |     12,513 |
| day00                                                                       |          1 |         22 |          0 |          0 |         22 |
| day01                                                                       |          1 |         34 |          6 |          1 |         41 |
| day02                                                                       |          1 |         51 |          7 |          4 |         62 |
| day03                                                                       |         13 |        719 |        115 |         42 |        876 |
| day03-break                                                                 |          6 |        177 |         17 |         17 |        211 |
| day03\32位模式下准备                                                              |          2 |        127 |         15 |          5 |        147 |
| day03\ipl与os连接                                                              |          3 |        120 |         38 |          9 |        167 |
| day03\导入C                                                                   |          4 |        142 |         17 |         14 |        173 |
| day04                                                                       |         71 |      3,419 |        214 |        571 |      4,204 |
| day04\DrawSlaves                                                            |          9 |        519 |         43 |         64 |        626 |
| day04\DrawTaskBar                                                           |          8 |        737 |         43 |         66 |        846 |
| day04\DrawTrangle                                                           |          9 |        606 |         50 |         65 |        721 |
| day04\add_protection                                                        |          8 |        441 |         28 |         33 |        502 |
| day04\z_tools                                                               |         37 |      1,116 |         50 |        343 |      1,509 |
| day04\z_tools\guigui00                                                      |         11 |        661 |         28 |        173 |        862 |
| day04\z_tools\haribote                                                      |          9 |        161 |          9 |         70 |        240 |
| day04\z_tools\osa_qemu                                                      |          2 |         26 |          0 |          5 |         31 |
| day04\z_tools\qemu                                                          |          2 |          6 |          0 |          1 |          7 |
| day04\z_tools\qemu_9x                                                       |          1 |          2 |          0 |          1 |          3 |
| day04\z_tools\win32                                                         |         10 |        228 |         13 |         83 |        324 |
| day05                                                                       |         76 |      5,009 |        290 |        691 |      5,990 |
| day05\Rebuild-Struct                                                        |          8 |        761 |         43 |         68 |        872 |
| day05\Rebuild-point-binfo                                                   |          8 |        758 |         43 |         68 |        869 |
| day05\ShowCharacter                                                         |          8 |        901 |         48 |         67 |      1,016 |
| day05\ShowMoreCharacter                                                     |          8 |        989 |         53 |         72 |      1,114 |
| day05\ShowVariable                                                          |          7 |        484 |         53 |         73 |        610 |
| day05\z_tools                                                               |         37 |      1,116 |         50 |        343 |      1,509 |
| day05\z_tools\guigui00                                                      |         11 |        661 |         28 |        173 |        862 |
| day05\z_tools\haribote                                                      |          9 |        161 |          9 |         70 |        240 |
| day05\z_tools\osa_qemu                                                      |          2 |         26 |          0 |          5 |         31 |
| day05\z_tools\qemu                                                          |          2 |          6 |          0 |          1 |          7 |
| day05\z_tools\qemu_9x                                                       |          1 |          2 |          0 |          1 |          3 |
| day05\z_tools\win32                                                         |         10 |        228 |         13 |         83 |        324 |
| tolset                                                                      |         48 |      1,163 |         53 |        353 |      1,569 |
| tolset\z_new_o                                                              |          4 |         18 |          2 |          6 |         26 |
| tolset\z_new_w                                                              |          4 |         10 |          1 |          3 |         14 |
| tolset\z_osabin                                                             |          3 |         19 |          0 |          1 |         20 |
| tolset\z_tools                                                              |         37 |      1,116 |         50 |        343 |      1,509 |
| tolset\z_tools\guigui00                                                     |         11 |        661 |         28 |        173 |        862 |
| tolset\z_tools\haribote                                                     |          9 |        161 |          9 |         70 |        240 |
| tolset\z_tools\osa_qemu                                                     |          2 |         26 |          0 |          5 |         31 |
| tolset\z_tools\qemu                                                         |          2 |          6 |          0 |          1 |          7 |
| tolset\z_tools\qemu_9x                                                      |          1 |          2 |          0 |          1 |          3 |
